COG1,COG2,COG3,COG4,COG5,COG6,freq_cog1,freq_cog2,freq_cog3,freq_cog4,freq_cog5,freq_cog6,freq_sum
group_13780,group_13782,luxS,,,,0.08004268943436499,0.31910352187833513,0.4994663820704376,,,,0.8986125933831377
ACF55924.1,ADM83758.1,group_5034,,,,0.12379935965848453,0.5880469583778015,0.0736392742796158,,,,0.7854855923159019
group_7052,group_7055,group_7058,,,,0.10458911419423693,0.5474919957310566,0.05016008537886873,,,,0.7022411953041622
catE,group_10144,group_10150,,,,0.43649946638207043,0.24439701173959444,0.16008537886872998,,,,0.8409818569903948
dapE_2,group_8178,group_8181,,,,0.6819637139807898,0.18036286019210246,0.07150480256136606,,,,0.9338313767342583
group_6509,group_6512,yheI,,,,0.31910352187833513,0.27961579509071505,0.31696905016008536,,,,0.9156883671291355
aqpZ,group_2858,group_2860,,,,0.2390608324439701,0.3084311632870864,0.36926360725720386,,,,0.9167556029882604
group_3925,group_3929,queF,,,,0.10352187833511206,0.4055496264674493,0.43009605122732125,,,,0.9391675560298827
group_4342,group_4350,pyrE_1,,,,0.10138740661686232,0.5048025613660619,0.23585912486659552,,,,0.8420490928495198
ADM90933.1,group_13005,group_13009,,,,0.5389541088580576,0.13127001067235858,0.19530416221985059,,,,0.8655282817502667
ACF54859.1,ADM85731.1,CBW33549.1,,,,0.6648879402347919,0.1814300960512273,0.09711846318036287,,,,0.9434364994663821
ACF55762.1,CBW32182.1,group_10195,,,,0.08537886872998933,0.6189967982924226,0.096051227321238,,,,0.8004268943436499
group_12653,group_12655,yxdL_2,,,,0.18356456776947705,0.05016008537886873,0.29775880469583776,,,,0.5314834578441836
group_5003,group_5005,rnhB,,,,0.3137673425827108,0.24439701173959444,0.37566702241195304,,,,0.9338313767342582
gdh,group_8356,group_8365,,,,0.47065101387406616,0.2742796157950907,0.0864461045891142,,,,0.8313767342582711
group_3149,group_3154,group_3160,,,,0.05016008537886873,0.5400213447171825,0.11205976520811099,,,,0.7022411953041623
cysE,group_6215,group_6217,,,,0.6808964781216649,0.060832443970117396,0.08751334044823907,,,,0.8292422625400214
csoR,group_9510,group_9512,,,,0.5325506937033084,0.18463180362860193,0.054429028815368194,,,,0.7716115261472785
blaSE,group_3132,group_3134,,,,0.3084311632870864,0.15795090715048027,0.08110992529348986,,,,0.5474919957310566
group_18851,group_18853,group_18860,,,,0.061899679829242264,0.064034151547492,0.07470651013874066,,,,0.2006403415154749
group_6034,group_6036,secY_2,,,,0.07043756670224119,0.08751334044823907,0.15581643543223053,,,,0.3137673425827108
ADM83828.1,ADM90338.1,group_7570,,,,0.5731056563500534,0.14834578441835647,0.09711846318036287,,,,0.8185699039487727
ADM91972.1,CBW33271.1,group_5387,,,,0.14514407684098185,0.6125933831376734,0.11739594450373532,,,,0.8751334044823906
group_6156,group_6158,sacA,,,,0.29775880469583776,0.06296691568836713,0.5859124866595518,,,,0.9466382070437567
ABJ53995.1,ACO21810.1,CBW33214.1,,,,0.15048025613660618,0.12059765208110992,0.6008537886872999,,,,0.8719316969050159
ADM92189.1,group_6070,group_6080,,,,0.0832443970117396,0.09178228388473852,0.05016008537886873,,,,0.22518676627534684
ACO22632.1,group_7114,group_7119,,,,0.19316969050160085,0.096051227321238,0.2934898612593383,,,,0.5827107790821772
bltD_1,group_4595,group_4596,,,,0.6392742796157951,0.11632870864461047,0.13553895410885805,,,,0.8911419423692636
ADM92209.1,group_5119,group_5133,,,,0.06830309498399147,0.0832443970117396,0.12379935965848453,,,,0.2753468516542156
ABJ54252.1,ACO21443.1,CBW31677.1,,,,0.6691568836712913,0.20811099252934898,0.07257203842049093,,,,0.9498399146211312
group_11701,group_11704,ntpC,,,,0.05336179295624333,0.10245464247598719,0.07897545357524013,,,,0.23479188900747067
group_28303,group_28304,purN,,,,0.0864461045891142,0.4429028815368196,0.37886872998932764,,,,0.9082177161152615
group_3292,group_3295,ydcU,,,,0.05549626467449306,0.13980789754535752,0.061899679829242264,,,,0.25720384204909286
group_1848,group_1851,group_1852,,,,0.31803628601921025,0.3297758804695838,0.06296691568836713,,,,0.7107790821771611
group_6586,kfoC_1,wfgD,,,,0.05976520811099253,0.10992529348986126,0.7609391675560299,,,,0.9306296691568836
group_4641,group_4653,speA,,,,0.1344717182497332,0.23479188900747064,0.46744930629669157,,,,0.8367129135538954
gmuF,group_7323,manA,,,,0.13874066168623267,0.13553895410885805,0.5250800426894343,,,,0.7993596584845251
ADM84217.1,CAR68425.1,group_11695,,,,0.052294557097118465,0.736392742796158,0.12913553895410887,,,,0.9178228388473854
